Extraversion,Number of Texters,Hours of Sleep,Handedness,Undergrad Year
4,4,7,Right-handed,Third
3,5,6,Right-handed,First
4,5,6,Right-handed,Second
4,10,6,Right-handed,Third
7,11,6,Right-handed,Second
3,4,7,Right-handed,Second
4,1,8,Right-handed,Third
8,15,7,Right-handed,First
4,4,8,Right-handed,Second
5,7,7,Right-handed,First
5,9,8,Right-handed,First
8,3,8,Right-handed,Second
5,5,7,Right-handed,First
5,2,8.5,Right-handed,First
5,10,8,Right-handed,Second
7,10,6,Left-handed,Second
9,4,8,Left-handed,Second
8,4,8,Right-handed,Second
4,2,7,Right-handed,Third
5,4,9,Right-handed,Third
8,25,8,Left-handed,First
8,2,8,Right-handed,Second
8,12,7,Right-handed,Second
6,10,8,Left-handed,Second
5,4,7,Right-handed,Third
8,5,7,Right-handed,Second
7,3,8.5,Left-handed,Second
7,15,7,Right-handed,Fourth or Higher
7,20,7,Right-handed,Fourth or Higher
3,2,7,Right-handed,First
4,5,7,Right-handed,Fourth or Higher
7,5,7,Right-handed,First
6,5,8,Right-handed,Fourth or Higher
6,7,7,Right-handed,Fourth or Higher
7,8,7,Left-handed,First
2,5,6,Right-handed,First
6,5,8,Left-handed,First
4,3,7,Right-handed,First
4,4,6,Left-handed,Second
7,2,8,Right-handed,Second
8,3,6,Right-handed,Third
8,10,8,Left-handed,Second
9,3,6,Right-handed,Second
3,6,7,Right-handed,Third
5,7,7,Right-handed,Fourth or Higher
4,3,9,Right-handed,Second
7,3,6,Right-handed,Fourth or Higher
5,10,7,Right-handed,First
7,15,6,Right-handed,First
2,8,7,Right-handed,First
4,5,6,Right-handed,Second
5,5,7,Right-handed,Fourth or Higher
8,4,6.5,Right-handed,Second
5,4,7,Right-handed,Third
8,4,7,Right-handed,Second
4,5,6,Right-handed,Fourth or Higher
3,7,8,Right-handed,Third
10,15,9,Right-handed,Second
8,16,6,Right-handed,Second
7,1,7,Right-handed,First
8,10,8,Right-handed,Second
4,5,5,Right-handed,Third
